credit_policy,purpose,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,not_fully_paid
1,credit_card,0.143,498.35,150000,15.7,694,37865,19748,0.674,3,5,0,0
1,home_improvement,0.11,870.29,55000,30.13,734,35947,11898,0.476,2,1,0,0
1,credit_card,0.088,785.32,165000,16.11,694,36373,20681,0.567,0,0,0,0
1,credit_card,0.17,285.03,40000,32.07,744,40269,8514,0.226,2,0,0,0
1,debt_consolidation,0.088,570.81,36000,23.73,714,38565,7555,0.256,1,0,0,1
1,debt_consolidation,0.17,893.73,115000,28.58,679,37803,60984,0.956,0,0,0,1
1,credit_card,0.143,281.09,95000,18.51,749,36008,14083,0.156,0,0,0,1
1,debt_consolidation,0.11,435.05,20160,123.93,774,41365,353,0.007,1,0,0,1
1,debt_consolidation,0.088,1268.46,130000,20.09,704,37469,29208,0.507,0,0,0,1
1,debt_consolidation,0.161,365.73,30000,37.28,734,35490,13869,0.431,0,0,0,1
1,debt_consolidation,0.076,249.08,44653,22.16,719,36892,8075,0.229,0,0,0,1
1,credit_card,0.206,341.72,52000,38.41,709,38108,28147,0.821,2,0,0,1
1,debt_consolidation,0.143,495.42,61000,35.75,779,40210,3812,0.135,0,0,0,1
1,credit_card,0.152,837.07,128507,26.43,704,37438,40022,0.518,0,0,1,1
1,credit_card,0.088,158.56,41700,32,799,32813,2742,0.021,1,0,0,1
1,debt_consolidation,0.131,340.7,55653,36.96,709,33848,19242,0.713,0,0,0,1
1,debt_consolidation,0.17,364.32,30000,32.72,679,34851,7625,0.248,1,0,1,1
1,debt_consolidation,0.124,897.89,120000,16.2,704,39448,30323,0.857,0,0,0,1
1,debt_consolidation,0.088,325.05,83000,37.43,709,39203,19612,0.784,0,0,0,1
1,debt_consolidation,0.103,778.14,178500,7.74,689,39203,25416,0.355,0,0,0,1
1,debt_consolidation,0.088,190.27,50000,10.99,709,39630,7830,0.13,0,1,0,1
1,debt_consolidation,0.117,1157.66,218500,18.61,714,38504,139422,0.456,1,0,0,1
1,debt_consolidation,0.07,243.23,125000,14.25,729,38838,7076,0.431,0,0,0,1
1,debt_consolidation,0.131,911.77,105000,25.12,759,37347,6748,0.111,1,0,1,1
1,credit_card,0.206,524.23,90000,28.35,674,39356,55300,0.663,1,0,0,0
1,credit_card,0.082,502.79,122000,24.93,709,32051,53317,0.6,1,0,0,0
1,debt_consolidation,0.206,449.34,24960,29.81,699,32448,17091,0.95,0,0,0,0
1,debt_consolidation,0.082,1002.43,100000,23.39,734,38808,30233,0.502,0,0,0,0
1,debt_consolidation,0.07,370.64,60000,21.06,769,38596,8859,0.155,1,0,0,0
1,other,0.065,735.14,75000,10.19,744,37834,19268,0.296,0,0,0,0
1,other,0.11,58.95,40000,20.52,714,37865,8164,0.149,0,1,0,0
1,credit_card,0.124,897.89,81899,24.56,699,37865,35047,0.809,2,0,0,0
1,debt_consolidation,0.124,434.28,62000,21.24,709,37591,11210,0.883,0,0,0,0
1,debt_consolidation,0.088,729.37,78000,14.94,749,41944,0,0,1,0,0,0
1,debt_consolidation,0.11,131,90000,26.51,664,39479,17864,0.777,0,0,0,0
1,debt_consolidation,0.117,253.04,63000,24.4,694,34912,7993,0.243,0,0,0,0
1,debt_consolidation,0.131,505.99,53000,13.88,669,38718,17001,0.474,0,2,0,0
1,home_improvement,0.177,537.25,150000,0.42,669,38292,278,0.037,1,1,0,0
1,credit_card,0.161,563.47,112880,36.71,679,38200,58640,0.638,1,0,0,0
1,debt_consolidation,0.11,173.57,61000,27.74,719,40026,898,0.086,1,0,0,1
1,debt_consolidation,0.131,911.77,106000,33.8,714,38657,29505,0.363,0,0,0,1
1,credit_card,0.152,443.49,86000,17.43,744,39479,10830,0.708,1,0,0,1
1,credit_card,0.103,448.24,53000,14.7,684,38687,5329,0.321,1,0,0,1
1,debt_consolidation,0.143,351.37,76000,34.63,694,39326,29439,0.809,0,0,0,1
1,debt_consolidation,0.186,328.09,120000,24.22,704,39326,27045,0.647,0,0,0,1
1,other,0.17,595.82,84100,18.61,689,34578,9452,0.325,0,0,0,1
1,debt_consolidation,0.088,505.8,78000,53.78,779,35400,27592,0.539,0,0,0,1
1,debt_consolidation,0.17,611.02,125000,26.13,679,36495,67032,0.771,1,0,0,1
1,debt_consolidation,0.103,389.07,240000,7.91,679,38231,28804,0.406,4,0,0,1
1,credit_card,0.124,897.89,215000,12.95,689,37712,42510,0.386,3,0,0,1
1,credit_card,0.076,1245.36,250000,11.5,704,31898,88536,0.488,0,0,0,1
1,debt_consolidation,0.076,922.34,200000,19.61,769,32174,19900,0.179,1,0,0,1
1,debt_consolidation,0.143,514.86,60000,22.6,699,42491,4782,0.236,1,0,0,1
1,debt_consolidation,0.076,467.01,33000,33.49,729,38047,8145,0.106,0,0,0,1
1,credit_card,0.088,380.54,58000,9.77,679,32568,15041,0.46,1,0,1,1
1,debt_consolidation,0.065,309.38,34000,4.31,799,33848,4662,0.067,0,0,0,1
1,credit_card,0.131,287.21,56880,15.7,719,37288,9021,0.531,0,0,0,1
1,credit_card,0.11,261.99,54000,11.73,669,38231,14389,0.972,0,0,0,1
1,debt_consolidation,0.11,702.61,78000,18.38,774,38930,7725,0.258,0,0,0,1
1,debt_consolidation,0.131,727.14,340000,18.78,669,41275,32486,0.554,0,0,0,1
1,debt_consolidation,0.288,490.91,40000,15.78,679,42125,5374,0.43,1,0,0,1
1,major_purchase,0.131,727.14,55000,20.42,719,41244,10891,0.186,0,0,0,1
1,debt_consolidation,0.131,607.19,176000,4.94,694,35309,17244,0.319,0,0,0,1
1,credit_card,0.065,306.31,30420,29.31,744,33512,12826,0.292,0,0,0,1
1,major_purchase,0.065,320.1,36000,7.7,804,34516,633,0.048,0,0,0,1
